AnimalID	MotherID	FatherID
AA5228	AA4345	AA4206
AA5229	AA4191	AA4319
AA5230	AA4413	AA4461
AA5231	AA4229	AA4477
AA5232	AA4345	AA4206
AA5233	AA4526	AA4292
AA5234	AA4142	AA4461
AA5235	AA4490	AA4138
AA5236	AA4494	AA4291
AA5237	AA4402	AA4319
AA5238	AA4142	AA4406
AA5239	AA4383	AA4487
AA5240	AA4479	AA4346
AA5241	AA4191	AA4319
AA5242	AA4479	AA4346
AA5243	AA4493	AA4303
AA5244	AA4493	AA4303
AA5245	AA4493	AA4303
AA5246	AA4494	AA4291
AA5247	AA4155	AA4346
AA5248	AA4467	AA4141
AA5249	AA4396	AA4377
AA5250	AA4233	AA4168
AA5251	AA4231	AA4158
AA5252	AA4383	AA4487
AA5253	AA4396	AA4377
AA5254	AA4281	AA4346
AA5255	AA4281	AA4184
AA5256	AA4467	AA4141
AA5257	AA4459	AA4424
AA5258	AA4231	AA4158
AA5259	AA4518	AA4147
AA5260	AA4227	AA4316
AA5261	AA4231	AA4158
AA5262	AA4254	AA4535
AA5263	AA4459	AA4424
AA5264	AA4503	AA4473
AA5265	AA4490	AA4138
AA6001	AA4358	AA4377
AA6002	AA4381	AA1608
AA6003	AA4467	AA4141
AA6004	AA2243	AA4420
AA6005	AA2248	AA4440
AA6006	AA4525	AA4304
AA6007	AA4503	AA4535
AA6008	AA4459	AA4424
AA6009	AA4517	AA4443
AA6010	AA4481	AA4487
AA6011	AA2253	AA4255
AA6012	AA2248	AA4440
AA6013	AA4160	AA2019
AA6014	AA4413	AA4297
AA6015	AA4396	AA4377
AA6016	AA4359	AA4348
AA6017	AA4142	AA4461
AA6018	AA4485	AA4168
AA6019	AA4205	AA2266
AA6020	AA4160	AA2019
AA6021	AA4493	AA4303
AA6022	AA4325	AA4348
AA6023	AA4385	AA4138
AA6024	AA4367	AA1032
AA6025	AA4442	AA4489
AA6026	AA4142	AA4461
AA6027	AA4231	AA4158
AA6028	AA4381	AA1608
AA6029	AA2058	AA4169
AA6030	AA4381	AA1608
AA6031	AA4228	AA4533
AA6032	AA4493	AA4303
AA6033	AA4481	AA4487
AA6034	AA4465	AA4141
AA6035	AA4231	AA4158
AA6036	AA2253	AA4255
AA6037	AA4325	AA4348
AA6038	AA4359	AA4348
AA6039	AA4525	AA4304
AA6040	AA4359	AA4348
AA6041	AA4485	AA4168
AA6042	AA4263	AA4136
AA6043	AA4493	AA4303
AA6044	AA4396	AA4377
AA6045	AA4481	AA4487
AA6046	AA4405	AA4380
AA6047	AA4231	AA4158
AA6048	AA4459	AA4424
AA6049	AA4503	AA4535
AA6050	AA4263	AA4136
AA6051	AA2058	AA4169
AA6052	AA4224	AA4136
AA6053	AA4413	AA4297
AA6054	AA4485	AA4489
AA6055	AA4493	AA4303
AA6056	AA2058	AA4169
AA6057	AA4494	AA4239
AA6058	AA4231	AA4158
AA6059	AA4517	AA4443
AA6060	AA4241	AA4350
AA6061	AA4494	AA4239
AA6062	AA4362	AA4389
AA6063	AA4362	AA4389
AA6064	AA4362	AA4389
AA6065	AA4241	AA4350
AA6066	AA4191	AA4382
AA6067	AA4205	AA2266
AA6068	AA4442	AA4489
AA6069	AA4362	AA4389
AA6070	AA4325	AA4180
AA6071	AA4453	AA1301
AA6072	AA4415	AA4406
AA6073	AA4241	AA4350
AA6074	AA4444	AA4319
AA6075	AA4205	AA2266
AA6076	AA1615	AA4430
AA6077	AA2058	AA4169
AA6078	AA4191	AA4382
AA6079	AA1615	AA4430
AA6080	AA4203	AA4510
AA6081	AA4444	AA4303
AA6082	AA4325	AA4180
AA6083	AA4442	AA4489
AA6084	AA4493	AA4303
AA6085	AA4345	AA4260
AA6086	AA4405	AA4380
AA6087	AA4459	AA4424
AA6088	AA4325	AA4180
AA6089	AA4325	AA4180
AA6090	AA4459	AA4424
AA6091	AA2058	AA4169
AA6092	AA1527	AA4275
AA6093	AA4444	AA4319
AA6094	AA4493	AA4303
AA6095	AA4217	AA2237
AA6096	AA2058	AA4169
AA6097	AA1527	AA4275
AA6098	AA4481	AA4487
AA6099	AA4518	AA4147
AA6100	AA4396	AA4377
AA6101	AA4493	AA4303
AA6102	AA4518	AA4147
AA6103	AA4385	AA4138
AA6104	AA2143	AA4426
AA6105	AA4345	AA4260
AA6106	AA4405	AA4380
AA6107	AA4228	AA4533
AA6108	AA4481	AA4487
AA6109	AA4302	AA4489
AA6110	AA1615	AA4430
AA6111	AA4217	AA2237
AA6112	AA4465	AA4141
AA6113	AA4465	AA4141
AA6114	AA4467	AA4141
AA6115	AA4385	AA4138
AA6116	AA4263	AA4136
AA6117	AA4263	AA4136
AA6118	AA4359	AA4346
AA6119	AA4518	AA4147
AA6120	AA4385	AA4138
AA6121	AA2058	AA4169
AA6122	AA4156	AA4239
AA6123	AA4156	AA4539
AA6124	AA4276	AA4452
AA6125	AA4485	AA4489
AA6126	AA4405	AA4380
AA6127	AA4339	AA2073
AA6128	AA4173	AA1379
AA6129	AA4339	AA2073
AA6130	AA4385	AA4138
AA6131	AA4276	AA4452
AA6132	AA4231	AA4158
AA6133	AA4230	AA2252
AA6134	AA4173	AA1379
AA6135	AA4345	AA4487
AA6136	AA4156	AA4491
AA6137	AA4339	AA2073
AA6138	AA1615	AA4430
AA6139	AA4231	AA4158
AA6140	AA4227	AA4487
AA6141	AA4173	AA1379
AA6142	AA4231	AA4158
AA6143	AA4465	AA4141
AA6144	AA4368	AA4206
AA6145	AA2156	AA4261
AA6146	AA4467	AA4141
AA6147	AA4485	AA4172
AA6148	AA4173	AA1379
AA6149	AA4436	AA4303
AA6150	AA4467	AA4141
AA6151	AA4217	AA2237
AA6152	AA2156	AA4261
AA6153	AA4465	AA4141
